==================== 2026-05-24T20:58:32.450080Z | 1e259141-0a8a-4a3e-842f-64c6fc1c86b6 ====================
20:58:32.450272 [info ]: Starting dbt LSP server
20:58:32.450371 [info ]: Connecting to LSP client on port 8000
20:58:32.452937 [info ]: Successfully connected to LSP client
20:58:32.452964 [info ]: Creating LSP service...
20:58:32.523920 [info ]: Creating LSP server...
20:58:32.523951 [info ]: Starting LSP server...
21:00:13.748259 [info ]: Loading ~/.dbt/profiles.yml
21:00:22.113091 [info ]: Loading ~/.dbt/profiles.yml
21:00:42.154065 [info ]: Loading ~/.dbt/profiles.yml
21:04:25.425880 [info ]: Loading ~/.dbt/profiles.yml
21:04:50.179838 [info ]: Loading ~/.dbt/profiles.yml
21:05:11.364787 [info ]: Loading ~/.dbt/profiles.yml
21:08:22.619648 [info ]: Loading ~/.dbt/profiles.yml
21:09:28.432164 [info ]: Loading ~/.dbt/profiles.yml
21:09:28.937644 [info ]: Loading ~/.dbt/profiles.yml
21:09:29.442594 [info ]: Loading ~/.dbt/profiles.yml
21:09:29.948401 [info ]: Loading ~/.dbt/profiles.yml
21:09:30.436960 [info ]: Loading ~/.dbt/profiles.yml
21:09:30.939375 [info ]: Loading ~/.dbt/profiles.yml
21:09:31.449917 [info ]: Loading ~/.dbt/profiles.yml
21:09:31.963013 [info ]: Loading ~/.dbt/profiles.yml
21:09:32.231051 [info ]: Loading ~/.dbt/profiles.yml
21:09:32.735092 [info ]: Loading ~/.dbt/profiles.yml
21:09:33.254936 [info ]: Loading ~/.dbt/profiles.yml
21:09:41.021041 [info ]: Loading ~/.dbt/profiles.yml
21:09:41.322472 [info ]: Loading ~/.dbt/profiles.yml
21:09:41.822989 [info ]: Loading ~/.dbt/profiles.yml
21:09:42.343829 [info ]: Loading ~/.dbt/profiles.yml
21:09:42.829002 [info ]: Loading ~/.dbt/profiles.yml
21:09:43.324744 [info ]: Loading ~/.dbt/profiles.yml
21:09:43.810887 [info ]: Loading ~/.dbt/profiles.yml
21:09:44.322409 [info ]: Loading ~/.dbt/profiles.yml
21:09:44.852308 [info ]: Loading ~/.dbt/profiles.yml
21:09:45.316469 [info ]: Loading ~/.dbt/profiles.yml
21:09:45.828359 [info ]: Loading ~/.dbt/profiles.yml
21:09:46.307674 [info ]: Loading ~/.dbt/profiles.yml
21:09:46.820577 [info ]: Loading ~/.dbt/profiles.yml
21:09:47.317547 [info ]: Loading ~/.dbt/profiles.yml
21:09:47.820623 [info ]: Loading ~/.dbt/profiles.yml
21:09:48.325259 [info ]: Loading ~/.dbt/profiles.yml
21:09:48.822072 [info ]: Loading ~/.dbt/profiles.yml
21:09:49.320001 [info ]: Loading ~/.dbt/profiles.yml
21:09:49.832947 [info ]: Loading ~/.dbt/profiles.yml
21:09:50.316777 [info ]: Loading ~/.dbt/profiles.yml
21:09:50.827866 [info ]: Loading ~/.dbt/profiles.yml
21:09:51.315529 [info ]: Loading ~/.dbt/profiles.yml
21:09:51.848452 [info ]: Loading ~/.dbt/profiles.yml
21:09:52.338120 [info ]: Loading ~/.dbt/profiles.yml
21:09:52.826626 [info ]: Loading ~/.dbt/profiles.yml
21:09:53.320808 [info ]: Loading ~/.dbt/profiles.yml
21:09:53.893973 [info ]: Loading ~/.dbt/profiles.yml
21:09:54.340273 [info ]: Loading ~/.dbt/profiles.yml
21:09:54.827594 [info ]: Loading ~/.dbt/profiles.yml
21:09:55.342356 [info ]: Loading ~/.dbt/profiles.yml
21:09:55.832862 [info ]: Loading ~/.dbt/profiles.yml
21:09:56.328276 [info ]: Loading ~/.dbt/profiles.yml
21:09:56.843383 [info ]: Loading ~/.dbt/profiles.yml
21:09:57.348507 [info ]: Loading ~/.dbt/profiles.yml
21:09:57.862584 [info ]: Loading ~/.dbt/profiles.yml
21:09:58.347109 [info ]: Loading ~/.dbt/profiles.yml
21:09:58.884476 [info ]: Loading ~/.dbt/profiles.yml
21:09:59.372366 [info ]: Loading ~/.dbt/profiles.yml
21:09:59.842990 [info ]: Loading ~/.dbt/profiles.yml
21:10:00.340480 [info ]: Loading ~/.dbt/profiles.yml
21:10:00.869898 [info ]: Loading ~/.dbt/profiles.yml
21:10:10.842316 [info ]: Loading ~/.dbt/profiles.yml
21:10:11.367148 [info ]: Loading ~/.dbt/profiles.yml
21:10:11.859609 [info ]: Loading ~/.dbt/profiles.yml
21:10:12.363912 [info ]: Loading ~/.dbt/profiles.yml
21:10:13.375123 [info ]: Loading ~/.dbt/profiles.yml
21:10:14.381466 [info ]: Loading ~/.dbt/profiles.yml
21:10:14.884375 [info ]: Loading ~/.dbt/profiles.yml
21:10:15.371676 [info ]: Loading ~/.dbt/profiles.yml
21:10:15.966209 [info ]: Loading ~/.dbt/profiles.yml
21:10:16.378149 [info ]: Loading ~/.dbt/profiles.yml
21:10:16.692469 [info ]: Loading ~/.dbt/profiles.yml
21:10:17.197857 [info ]: Loading ~/.dbt/profiles.yml
21:10:17.693968 [info ]: Loading ~/.dbt/profiles.yml
21:10:18.207191 [info ]: Loading ~/.dbt/profiles.yml
21:10:18.689154 [info ]: Loading ~/.dbt/profiles.yml
21:10:19.196344 [info ]: Loading ~/.dbt/profiles.yml
21:10:20.204332 [info ]: Loading ~/.dbt/profiles.yml
21:10:20.704497 [info ]: Loading ~/.dbt/profiles.yml
21:10:21.294203 [info ]: Loading ~/.dbt/profiles.yml
21:10:21.711803 [info ]: Loading ~/.dbt/profiles.yml
21:10:22.212086 [info ]: Loading ~/.dbt/profiles.yml
21:10:22.714516 [info ]: Loading ~/.dbt/profiles.yml
21:10:23.205270 [info ]: Loading ~/.dbt/profiles.yml
21:10:23.710563 [info ]: Loading ~/.dbt/profiles.yml
21:10:24.725764 [info ]: Loading ~/.dbt/profiles.yml
21:10:25.732869 [info ]: Loading ~/.dbt/profiles.yml
21:10:26.740229 [info ]: Loading ~/.dbt/profiles.yml
21:10:27.234536 [info ]: Loading ~/.dbt/profiles.yml
21:10:27.715606 [info ]: Loading ~/.dbt/profiles.yml
21:10:28.735658 [info ]: Loading ~/.dbt/profiles.yml
21:10:29.223462 [info ]: Loading ~/.dbt/profiles.yml
21:10:29.816216 [info ]: Loading ~/.dbt/profiles.yml
21:10:30.093799 [info ]: Loading ~/.dbt/profiles.yml
21:10:31.102438 [info ]: Loading ~/.dbt/profiles.yml
21:10:31.593194 [info ]: Loading ~/.dbt/profiles.yml
21:10:32.625458 [info ]: Loading ~/.dbt/profiles.yml
21:10:33.321228 [info ]: Loading ~/.dbt/profiles.yml
21:10:33.615679 [info ]: Loading ~/.dbt/profiles.yml
21:10:33.915997 [info ]: Loading ~/.dbt/profiles.yml
21:10:34.854113 [info ]: Loading ~/.dbt/profiles.yml
21:10:35.351214 [info ]: Loading ~/.dbt/profiles.yml
21:10:35.848663 [info ]: Loading ~/.dbt/profiles.yml
21:10:36.367309 [info ]: Loading ~/.dbt/profiles.yml
21:10:37.024808 [info ]: Loading ~/.dbt/profiles.yml
21:10:37.366027 [info ]: Loading ~/.dbt/profiles.yml
21:10:37.837932 [info ]: Loading ~/.dbt/profiles.yml
21:10:38.343814 [info ]: Loading ~/.dbt/profiles.yml
21:10:38.866969 [info ]: Loading ~/.dbt/profiles.yml
21:10:39.351169 [info ]: Loading ~/.dbt/profiles.yml
21:10:40.348198 [info ]: Loading ~/.dbt/profiles.yml
21:10:40.862252 [info ]: Loading ~/.dbt/profiles.yml
21:10:41.350260 [info ]: Loading ~/.dbt/profiles.yml
21:10:42.316979 [info ]: Loading ~/.dbt/profiles.yml
21:10:43.321179 [info ]: Loading ~/.dbt/profiles.yml
21:10:44.316335 [info ]: Loading ~/.dbt/profiles.yml
21:10:44.948229 [info ]: Loading ~/.dbt/profiles.yml
